product_id,name,brand_id,brand_name,seller_id,seller_name,category,primary_category,price,original_price,discount_rate,rating,review_count,sold_count,origin,is_imported,is_authentic,is_official_store,tiki_verified,has_authentic_badge,availability
16359408,"Gel đặc siêu cứng, khô nhanh giữ lọn xoăn Confume Super Hair Hàn Quốc 400ml + Móc khóa",415523.0,confume,37079,Thebeauty,Tạo kiểu tóc,"Thuốc duỗi, uốn",179000,179000,0,5.0,1,17,,False,1,False,1,True,1
16333212,"Sáp siêu cứng, kết dính cao Mugens Super Hard Wax Hàn Quốc 90g + Móc khóa",415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Gel, sáp vuốt tóc",185000,185000,0,2.5,2,16,,False,1,False,1,True,1
279092394,[SẢN PHẨM MỚI] Kem Nhuộm Phủ Bạc Tóc Lavox Online Shopping,470537.0,Lavox,93666,Lamimi Cosmetics,Thuốc nhuộm tóc,Nhuộm tóc tạm thời,57000,60000,5,0.0,0,0,Việt Nam,False,1,False,0,True,1
278439513,Kem Nhuộm Phủ Bạc Tóc Natural Siêu Dưỡng Lavox 40gx2,470537.0,Lavox,93666,Lamimi Cosmetics,Thuốc nhuộm tóc,Nhuộm tóc tạm thời,116000,145000,20,0.0,0,0,Việt Nam,False,1,False,0,True,1
278438263,Kem Nhuộm Tóc Màu Thời Trang Youth&Color Lavox 60mlx2,470537.0,Lavox,93666,Lamimi Cosmetics,Thuốc nhuộm tóc,Nhuộm tóc tạm thời,57000,60000,5,0.0,0,0,Việt Nam,False,1,False,0,True,1
278381255,Dầu Gội Phủ Bạc M.pros 25ml,199927.0,M-pros,93666,Lamimi Cosmetics,Thuốc nhuộm tóc,Nhuộm tóc tạm thời,40000,40000,0,5.0,1,10,Việt Nam,False,1,False,0,True,1
277743280,"Thuốc Nhuộm Tóc CAZOOVA Phủ Bạc Cao Cấp 100ML – Màu Nhuộm Bền Màu, Dưỡng Tóc",710875.0,Cazoova,357699,Gentila Hair Care x Cazoova,Thuốc nhuộm tóc,Nhuộm tóc lâu dài,99000,99000,0,0.0,0,1,Italia / Trung Quốc,False,1,False,0,True,1
276156167,"Oxi trợ nhuộm Cazoova, hương bạc hà 1000ML - Giúp tóc nhuộm bền màu, bảo vệ tóc khỏe mạnh",710875.0,Cazoova,357699,Gentila Hair Care x Cazoova,Thuốc nhuộm tóc,Nhuộm tóc lâu dài,129000,129000,0,0.0,0,0,Italia / Trung Quốc,False,1,False,0,True,1
274376004,Kem nhuộm Salon de Pro hộp 40g,7812609.0,SALONDEPRO,193621,MEDiCARE Official Store,Thuốc nhuộm tóc,Nhuộm tóc lâu dài,172000,172000,0,0.0,0,0,Nhật Bản,True,1,False,1,True,1
271423175,GN8 (NÂU SÁNG) - NHUỘM THẢO DƯỢC MÀU THỜI TRANG BOSNIC 150ML,633863.0,BOSNIC,100760,Linh Giang Cosmetic,Thuốc nhuộm tóc,Nhuộm tóc lâu dài,189000,189000,0,0.0,0,1,Hàn Quốc,True,1,False,1,True,1
