product_id,name,name_clean,brand_name,seller_name,product_type,category,primary_category,origin_class,origin_normalized,is_imported,price,original_price,discount_rate,has_discount,price_segment,sold_count,popularity_tier,is_extreme_seller,review_count,review_ratio,review_ratio_flag,rating,rating_tier,estimated_revenue,is_official_store,is_authentic,has_authentic_badge,tiki_verified,availability,availability_label,sold_hidden_flag,has_name_duplicate
277164782,"Kem dưỡng ẩm hạnh nhân hỗ trợ tái tạo phục hồi da cho bé Nhạy cảm, Viêm da cơ địa, Chàm sữa, vảy nến Moogoo","Kem dưỡng ẩm hạnh nhân hỗ trợ tái tạo phục hồi da cho bé Nhạy cảm, Viêm da cơ địa, Chàm sữa, vảy nến Moogoo",Moogoo,Moogoo Official Store,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Úc,False,348000,348000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
276901059,Nước thần dưỡng sáng và căng mọng da Emmié by HappySkin Brightening Plumping Solution Essence (150ml/230ml) - Hàng chính hãng,Nước thần dưỡng sáng và căng mọng da Emmié by HappySkin Brightening Plumping Solution Essence (/) - Hàng,Emmie,Long Hưng Official Store,Body Care,Dưỡng thể,Dưỡng trắng,Trong nước,Việt Nam,False,289000,329000,12.0,True,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
276811823,Dưỡng thể thư giãn Phiten Metax Lotion B 120ml,Dưỡng thể thư giãn Phiten Metax Lotion B,Phiten,Phiten Flagship Store,Body Care,Dưỡng thể,Săn chắc da,Ngoài nước,Nhật Bản,True,880000,880000,0.0,False,700k – 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
276798665,Serum kiềm dầu và dưỡng ẩm dành cho nam Treechada Moisturing Oil Control Thái Lan 100ml,Serum kiềm dầu và dưỡng ẩm dành cho nam Treechada Moisturing Oil Control Thái Lan,Hanaro,Thebeauty,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Thái Lan,False,185000,185000,0.0,False,100k – 300k,2,Mới,False,0,0.0,False,0.0,Chưa có đánh giá,370000,True,1,True,0,1,Còn hàng,False,False
276174256,Kem Dưỡng Ẩm Da NIVEA Crème (60 ml) - 80102,Kem Dưỡng Ẩm Da NIVEA Crème () - 80102,Nivea,Tiki Trading,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Thái Lan,False,52500,86000,39.0,True,Dưới 100k,121,Phổ biến,False,1,0.0083,False,5.0,Cao (≥ 4.5),6352500,True,1,True,0,1,Còn hàng,False,False
276158110,Kem dưỡng thể trắng da BRILLIANT CELL BODY CREAM DAMODE chai 200gr,Kem dưỡng thể trắng da BRILLIANT CELL BODY CREAM DAMODE chai r,Damode,d&ghouse,Body Care,Dưỡng thể,Dưỡng trắng,Ngoài nước,Hàn Quốc,True,1430000,1490000,4.0,True,700k – 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
276043287,Kem Chống Hăm Em Bé MooGoo - Baby Range - Nappy Balm 120g,Kem Chống Hăm Em Bé MooGoo - Baby Range - Nappy Balm,M&L Vietnam,Moogoo Official Store,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Úc,False,328000,328000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
275946612,Kem Ủ Trắng Da Toàn Thân White Conc (70 G),Kem Ủ Trắng Da Toàn Thân White Conc (),White Conc,HOÀ PHÚC,Body Care,Dưỡng thể,Dưỡng trắng,Ngoài nước,Nhật Bản,True,205000,718000,71.0,True,100k – 300k,4,Mới,False,0,0.0,False,0.0,Chưa có đánh giá,820000,True,1,True,0,1,Còn hàng,False,False
275604250,"Tinh dầu dưỡng tóc thơm, mềm mượt chiết xuất từ trứng Around Me Egg Nourishing Hair Oil 80ml","Tinh dầu dưỡng tóc thơm, mềm mượt chiết xuất từ trứng Around Me Egg Nourishing Hair Oil",Dabo,Thebeauty,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Hàn Quốc,True,265000,265000,0.0,False,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
274671409,Sữa dưỡng trắng da ngừa lão hóa da Naris Uruoi Collagen Nhật Bản 150ml,Sữa dưỡng trắng da ngừa lão hóa da Naris Uruoi Collagen Nhật Bản,Dabo,Thebeauty,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Ngoài nước,Nhật Bản,True,555000,555000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
273043119,Baby Range - Nipple Balm 50g (Mudder Udder) Baby Range - Kem dưỡng núm vú cho mẹ 50g (Mudder Udder),Baby Range - Nipple Balm (Mudder Udder) Baby Range - Kem dưỡng núm vú cho mẹ (Mudder Udder),M&L,TOYSHOUSE Store,Body Care,Dưỡng thể,Sữa dưỡng thể,Ngoài nước,Úc,False,278000,278000,0.0,False,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
272787020,Combo 2 kem dưỡng trắng da body cấp ẩm và làm dịu da Body S&W Celaud,2 kem dưỡng trắng da body cấp ẩm và làm dịu da Body S&W Celaud,C'Elaud,Emqueen Store,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,1014000,1014000,0.0,False,700k – 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
248519388,Kem dưỡng giảm nám Avoland,Kem dưỡng giảm nám Avoland,Avoland,Mr Shin,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,273000,273000,0.0,False,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
207764059,Sữa Dưỡng Thể Sáng Mịn Da White Camellia 250g Zakka Naturals,Sữa Dưỡng Thể Sáng Mịn Da White Camellia Zakka Naturals,Zakka Naturals,Zakka Naturals Official,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,342000,380000,10.0,True,300k – 700k,16,Mới,False,0,0.0,False,0.0,Chưa có đánh giá,5472000,True,1,True,1,1,Còn hàng,False,False
186446198,Chăm Sóc Da - C SKIN.02 - COMBO10 - BODY LOTION RETINOL - Dưỡng Trắng Cấp Ẩm Chuyên Sâu,Chăm Sóc Da - C SKIN.02 - 10 - BODY LOTION RETINOL - Dưỡng Trắng Cấp Ẩm Chuyên Sâu,C Skin.02,CSKIN02 officialstore,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,2390000,2390000,0.0,False,Trên 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
186441829,Chăm Sóc Da - C SKIN.02 - COMBO9 - BODY LOTION RETINOL - Dưỡng Trắng Cấp Ẩm Chuyên Sâu,Chăm Sóc Da - C SKIN.02 - 9 - BODY LOTION RETINOL - Dưỡng Trắng Cấp Ẩm Chuyên Sâu,C Skin.02,CSKIN02 officialstore,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,2151000,2151000,0.0,False,Trên 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,1,1,Còn hàng,False,False
