product_id,name_clean,brand_name,product_type,origin_class_corrected,price,rating,sold_count,discount_rate,tiki_verified,cluster,pca_x,pca_y
109338164,Gel Vệ Sinh X2 Nano Nghệ Cocayhoala mini size,COCAYHOALA,Body Care,Trong nước,67000,0.0,1,1.0,1,1,-0.21723840561566224,0.23006665096086162
107227498,"Combo sạch sâu vệ sinh cốc nguyệt san 3 món: Bột tiệt trùng cốc nguyệt san, DDVS Lincare và bàn chải",Lincare,Body Care,Trong nước,267000,5.0,8,0.0,1,2,1.9576217179475783,-0.350762633983315
75402957,Dung dịch vệ sinh phụ nữ Pro Beauty,PRO BEAUTY,Body Care,Trong nước,250000,5.0,1,0.0,1,2,2.415032399924815,-0.6851447635831271
68248988,DUNG DỊCH VỆ SINH PHỤ NỮ CHILLY CON ANTIBATTERICO,Chilly,Body Care,Ngoài nước,250000,0.0,1,0.0,1,1,-0.44344741534766224,-0.5165848223510401
52672748,Dung dịch vệ sinh phụ nữ cao cấp cho da nhạy cảm Femfresh Pure & Fresh Wash,Femfresh,Body Care,Ngoài nước,247500,5.0,23,0.0,1,2,2.458513019544404,-0.22134251100557054
52289946,Dung dịch vệ sinh phụ nữ PH Care Feminine Wash Nhật Bản - Hương bạc hà,PHcare,Body Care,Ngoài nước,155000,4.6,55,0.0,1,2,2.604734397956912,0.143702637849244
52287822,Dung dịch vệ sinh phụ nữ PH Care Feminine Wash Nhật Bản - Hương hoa Lily,PHcare,Body Care,Ngoài nước,155000,4.0,24,0.0,1,2,2.194325382885209,0.025657585035025427
29817313,Combo 1 dung dịch vệ sinh nam Malizia Ý () + 1 Nước dưỡng sau cạo râu Malizia Ý (),Malizia,Body Care,Ngoài nước,499000,4.5,19,0.0,1,2,1.982910779962536,-0.599724399737254
17954891,Dung dịch vệ sinh phụ nữ và cốc nguyệt san Lincare Rose,Lincare,Body Care,Trong nước,79000,5.0,91,0.0,1,2,3.035353070309141,0.5666036381766469
3613841,Combo 2 Dung Dịch Vệ Sinh Phụ Nữ Ans Hương Lavender PG-100,PinkG,Body Care,Trong nước,58000,4.8,54,0.0,1,2,2.724614676494397,0.6905083043443049
836474,Combo 2 Combo 2 Dung Dịch Vệ Sinh Phụ Nữ Ans For Teen-Classic PG-TC,PinkG,Body Care,Trong nước,50000,5.0,50,0.0,1,2,2.8460695831826004,0.7524521478795875
278578929,Dung dịch vệ sinh phụ nữ Vagisil Scentsitive Scents Daily Intimate Wash (/) - Hàng chính hãng,Vagisil,Body Care,Ngoài nước,399000,0.0,0,0.0,0,0,-1.4570472312671416,0.2019536496785181
278444136,"Dung dịch vệ sinh phụ nữ ForHer chiết xuất thiên nhiên, dịu nhẹ",Dermeden,Body Care,Trong nước,389000,0.0,0,0.0,0,0,-1.452614766542809,0.2154970635284485
278149648,Gel Vệ Sinh Phụ Khoa Kolorex Vaginal Care Wash,Giahu,Body Care,Ngoài nước,1030000,0.0,0,0.0,0,0,-1.6226579577980034,-0.3040705934660049
277400589,"Dung Dịch Vệ Sinh Phụ Nữ Aloe Rose AlfamCare Hỗ Trợ Viêm Nhiễm Phụ Khoa, Nấm Ngứa Chai",AlfamCare,Body Care,Trong nước,99000,0.0,0,0.0,0,0,-1.2136417565112594,0.9456800599217939
276187859,Dung dịch vệ sinh phụ nữ dạng bọt Oriss Daily Intimate Wash hỗ trợ làm sạch dịu nhẹ hương nước hoa,Oribe,Body Care,Trong nước,155000,0.0,2,38.0,0,3,-0.9748412858884548,2.497092634321131
276174268,el Rửa Mặt Nam KShinecos Expert Skincare Facial Cleanser For Men Premium + 1 Dung Dịch Vệ Sinh Nam KShinecos Intimate Wash Premium Hàn Quốc,KShinecos,Body Care,Ngoài nước,799000,5.0,3,0.0,0,2,0.9043629547651149,-0.003446432889486931
276148008,Dung dịch vệ sinh phụ khoa GENTLE AND FRESH DAMODE chai,Damode,Body Care,Ngoài nước,245000,0.0,2,55.0,0,3,-1.1183139489645693,3.001683166097234
275956424,"Gel vệ sinh phụ nữ Lotuphil , Làm sạch và hết mùi hôi - Hàng Chính Hãng",Lotuphil,Body Care,Trong nước,129000,0.0,0,0.0,0,0,-1.2598646541774146,0.8044458095962019
273357791,Combo Dung Dịch Vệ Sinh Phụ Nữ Oriss Tía Tô Và Nước Hoa Vùng Kín Nữ Oriss,Oriss,Body Care,Trong nước,185000,0.0,2,20.0,1,1,-0.29616528745183573,0.5681674931164472
273103067,DUNG DỊCH VỆ SINH PHỤ NỮ CHIẾT XUẤT CÚC LA MÃ DEEP FRESH INTIMATE WASH WITH CHAMOMILE EXTRACT,Deep Fresh,Body Care,Ngoài nước,150000,0.0,0,0.0,1,1,-0.6438876030510023,-0.31761545405667235
272661876,"￼Dung dịch xịt mũi seasalt - Trẻ em, chai",Kingphar,Body Care,Trong nước,28000,0.0,0,0.0,1,1,-0.3507880088417296,0.5779515386892679
272402936,"Dung dịch vệ sinh cho cả nữ và nam Femfresh Anh giúp làm sạch sẽ, thơm mát, ngăn ngừa viêm, ngứa, nấm phụ khoa - OZ Slim Store",Femfresh,Body Care,Ngoài nước,390000,4.6,35,0.0,1,2,2.2850443134958316,-0.40064788444818494
271315947,Dung Dịch Vệ Sinh Phụ Nữ CC Daily Feminine Wash Soothing And Calming Shower Gel (Black Oats & Cranberry),Formosa Biomedical,Body Care,Ngoài nước,232000,0.0,0,20.0,1,1,-0.7947750718274642,0.3307259029911654
270978505,"Combo 2 Bọt Vệ Sinh Nam Serenys – Dịu Nhẹ, Dễ Chịu",Serenys,Body Care,Trong nước,258000,5.0,16,0.0,1,2,2.05029832377857,-0.22997428386075872
270509098,Combo chăm sóc vệ sinh cô bé gel phụ khoa Altawell + khăn lau cô bé Altawell,Altawell,Body Care,Trong nước,330000,0.0,0,0.0,1,1,-0.7815754172848953,-0.73832112601051
